id,autor,fecha,texto
1946918412019536377,1144244397531435008,2025-07-20 13:01:36+00:00,"Los cuartos de final de la Eurocopa han dejado momentos memorables y sobre todo grandes actuaciones individuales. 

Junto a @MarcosFutFem elaboramos el top5 de futbolistas de esta ronda https://t.co/swXqdEh1vG"
1946901919043096700,1264559923410714624,2025-07-20 11:56:03+00:00,"693. 🇪🇸 España 2-0 Suiza 🇨🇭
Eurocopa Femenina - Cuartos de Final https://t.co/kEFNKQ9WAm"
1946897877688590646,19343904,2025-07-20 11:40:00+00:00,"🤩 Así es el balón especial para las 'semis' y la final de la Eurocopa femenina

https://t.co/fxqd25tcMt"
1946891151933669456,1391401640264179715,2025-07-20 11:13:16+00:00,"@Bea79bb La propia jugadora? Que mona 🥰
Una semana más de vacaciones ,el día después de la final de la Eurocopa.
*Yo me imaginaba q más tarde del 22, en un storie dijo M1sa q pasaba su cumple en🏡 después de muchos años
Su cumple es éste 22"
1946890101541220616,1927332294886379520,2025-07-20 11:09:06+00:00,"Ann-Katrin Berger ES FUTBOL. Diosa. No hay mas. 

Vencer el cancer 2 veces, marcarse el PARADÓN de la Eurocopa femenina...

Si alguien merece llegar a la final de esta Eurocopa y ganarla, esa es Alemania y Ann-Katrin Berger. NADIE MAS https://t.co/PZbEqpmRwJ https://t.co/1q4xlK71Xp"
1946889300274041074,1927666912302927872,2025-07-20 11:05:55+00:00,"🔥⚽️ ¡Ya están las 4 mejores! 🇮🇹🇩🇪🇪🇸🏴󠁧󠁢󠁥󠁮󠁧󠁿
Italia, Alemania, España e Inglaterra se jugarán TODO por un lugar en la gran final 🏆✨

#Eurocopa #Semifinales  #UEFAEuro #womenseuro2025 #eurowoman #uefa https://t.co/e72Xmk11U6"
1946887915964911743,216470133,2025-07-20 11:00:25+00:00,"@MenendezFaya Son malas en general, que a un equipo que llega a cuartos de final, le meta 5-0 el equipo masculino sub 15, antes de jugar la Eurocopa indica que aún queda mucho camino por recorrer"
1946885689611546785,159072956,2025-07-20 10:51:34+00:00,"Alemania y España buscarán un puesto en la final de la Eurocopa https://t.co/bpTXjmAKtN Roberto Espacios 

Alemania y España lucharán por un puesto en la final de la Eurocopa el próximo miércoles 23 de julio, a partir de las 21 horas en el Stadion Letzigrund de Zúrich. Y lo har… https://t.co/MaEBBoYvH5"
1946880434538688709,1323605804906434561,2025-07-20 10:30:41+00:00,"😳 Te juegas unos 1/4s de final de Eurocopa habiendo Var y se te pasa por la cabeza tirar del pelo a una rival dentro de tu área en el minuto 12 para dejar a tus compis con una menos y penal en contra.

💡Todo ok, luces pocas o ninguna. https://t.co/6Xx7q4L9og"
1946876481558196370,1081651783871664132,2025-07-20 10:14:59+00:00,Que un partido en el que no juega ningún equipo español tenga casi la misma audiencia que un partido de fase final de Eurocopa donde juega España no es el punto que crees que es https://t.co/82keqVMsAk
1946872718118551885,950505210488737798,2025-07-20 10:00:01+00:00,#PorSiTeLoPerdiste | #Alemania avanzó a Semifinales de #WEURO2025 luego de vencer a 6-5 a #Francia en penales. ➡ https://t.co/DmV3lqKXKB https://t.co/nLrJ2veJm9
1946870551521218717,782553163,2025-07-20 09:51:25+00:00,"@vam976 @avenassu @MMacroski Te he puesto la imagen con los espectadores únicos y la media. Si no la lees es tu problema.
Tu si estás falseando la audiencia de la final de Champions ya que era retransmitida en varios canales. Aparte de no elegir el partido equivalente (selección española, 1/4 de Eurocopa). https://t.co/pjgj6KNKbt"
1946869358434672811,1940290606158299136,2025-07-20 09:46:40+00:00,@VanesaCortazar @Persemprevlc Compáralo con la final de la Eurocopa masculina. 15 millones y casi un 79% de cuota. https://t.co/2dOLpPmOlu
1946865877745340546,212916808,2025-07-20 09:32:50+00:00,"¡ESTAMOS EN DIRECTO!
https://t.co/9yUNFof1E6

Resumen de cuartos de final de la Eurocopa, top5 jugadoras y prediccion para semifinales, con @BartolomeFR_"
1946865219436745073,30012883,2025-07-20 09:30:13+00:00,"Este miércoles España se mide a Alemania en semis de la #WEURO2025 para estar en la gran final  

📺En directo en @La1_tve y @rtveplay

⚽️Así llegan las 23 'magníficas' de Montse Tomé  

🪶Nos lo cuentan @FirstClassSDP y @David_Collazos 

https://t.co/SM1fbIx4JN https://t.co/DJg9aH7JeH"
1946860702993719355,1355089541716205568,2025-07-20 09:12:17+00:00,"@Saaaayfer @Linismo_ATM Claro claro solo estás hablando de el extremo izquierdo indiscutible y titularisimo de una selección candidata a campeona del mundo 
MVP de un una final de Eurocopa 
HAY LUUUUUUPITA 😂😂😂🫵🏿🤡🤡 https://t.co/pQFXCWnCYa"
1946850981544706402,1912482700667015168,2025-07-20 08:33:39+00:00,Lo peor de esta Eurocopa va a ser la final. Que se juega a las 18 horas. Después de todos estos partidos a las 21 va a ser raro…
1946843937244602428,34918017,2025-07-20 08:05:39+00:00,"⚽️ FÚTBOL | #WEURO2025 | Cuartos de final
💥Francia 🆚 Alemania (1-1; 5-6 en penaltis)
https://t.co/81qXCNw7XR https://t.co/jbRbQqW2bf"
1946829063621910864,1428398703463870465,2025-07-20 07:06:33+00:00,Quién pasará a la final de la Eurocopa Femenina?
1946819072651636978,1720665183188922368,2025-07-20 06:26:51+00:00,"@Emanuel10199874 @realdreamla14 Claro, el video muestra a Lucy Bronze, defensora de Inglaterra, en el partido contra Suecia por los cuartos de final de la Eurocopa Femenina 2025. Lesionada en la pierna, se venda ella misma con cinta atlética durante una pausa por lesión de la portera. Demuestra gran"
1946817376449675457,2618485788,2025-07-20 06:20:07+00:00,"@jjdelcuvillo @J_Zaragoza_ Háztelo ver tú anda listillo.
Mariano Rajoy un día después de anunciar el rescate bancario utilizó el Falcon para ir a ver la final de la Eurocopa entre España.
Todos los presidentes han utilizado el Falcón, Felipe González,Aznar, Zapatero y Sánchez."
1946812315694690664,85532893,2025-07-20 06:00:00+00:00,"#MaticesFútbol 5 ⚽

Eurocopa femenina 2025
Cuartos de  final
Francia 1-1 Alemania

FRA con mayor calidad de lanzamientos en tanda de penaltis; +0,54 xGOT de ventaja

ALE con mejor rendimiento de portera en tanda de penaltis; +1,54 xSave de ventaja

Cursos https://t.co/exvTNtdWri https://t.co/W6eAXQxLsZ"
1946799436102791545,241783413,2025-07-20 05:08:50+00:00,"Eurocopa Femenil Suiza 🇨🇭
Cuarto juego de cuartos de final de la Eurocopa Femenil donde Alemania gana en penales ante Francia.

Alemania 🇩🇪 es la cuarta semifinalista. https://t.co/mpirzamAjD"
